age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
29-358,2,1,2012-01-10,2,11,0,0,.478,23,12,.750,16,@,L (-5),27.0,1,36:43,GSW,4,3,34,4,MIA,2,6
29-359,2,2,2012-01-11,6,6,0,2,.353,17,5,.625,8,@,L (-6),11.0,1,41:57,LAC,1,4,17,3,MIA,2,7
29-361,6,0,2012-01-13,3,6,0,0,.429,14,0,,0,@,L (-13),9.9,1,28:33,DEN,4,4,12,2,MIA,3,7
30-010,4,2,2012-01-27,1,11,0,1,.579,19,6,1.000,6,,W (+10),27.9,1,32:44,NYK,1,1,28,5,MIA,1,2
30-012,7,1,2012-01-29,1,4,0,0,.250,16,7,.700,10,,W (+4),8.8,1,30:43,CHI,3,1,15,1,MIA,4,4
30-013,5,0,2012-01-30,2,8,0,0,.533,15,6,1.000,6,,W (+14),21.1,1,24:11,NOH,1,1,22,2,MIA,0,3
30-015,6,1,2012-02-01,6,8,0,1,.471,17,7,.875,8,@,L (-8),18.8,1,36:48,MIL,2,3,23,1,MIA,3,8
30-017,4,0,2012-02-03,4,10,0,0,.500,20,6,.750,8,@,W (+20),18.3,1,32:56,PHI,1,4,26,1,MIA,1,5
30-019,3,2,2012-02-05,2,8,0,1,.571,14,9,.750,12,,W (+6),19.9,1,33:36,TOR,0,1,25,0,MIA,1,2
30-021,6,1,2012-02-07,3,9,0,1,.529,17,8,1.000,8,,W (+16),22.4,1,35:08,CLE,1,2,26,3,MIA,4,4
30-022,2,3,2012-02-08,2,15,0,2,.625,24,3,1.000,3,@,L (-13),24.9,1,35:37,ORL,0,1,33,1,MIA,2,2
30-024,5,0,2012-02-10,3,11,0,0,.611,18,4,1.000,4,@,W (+17),18.0,1,31:16,WAS,0,3,26,1,MIA,4,3
30-026,3,1,2012-02-12,3,7,0,0,.500,14,7,1.000,7,@,W (+20),21.1,1,23:56,ATL,2,0,21,2,MIA,0,5
30-027,4,1,2012-02-13,2,8,0,0,.571,14,6,.750,8,@,W (+18),15.0,1,28:00,MIL,3,2,22,0,MIA,5,5
30-028,3,1,2012-02-14,5,6,0,0,.500,12,4,1.000,4,@,W (+15),14.0,1,24:06,IND,1,0,16,0,MIA,1,6
30-031,2,2,2012-02-17,5,7,1,1,.700,10,7,.778,9,@,W (+24),17.4,1,23:38,CLE,1,4,22,0,MIA,3,6
30-033,2,3,2012-02-19,3,13,0,2,.565,23,1,1.000,1,,W (+12),21.4,1,30:59,ORL,3,3,27,2,MIA,2,6
30-035,10,2,2012-02-21,2,11,0,0,.688,16,8,.800,10,,W (+12),32.6,1,29:31,SAC,2,3,30,3,MIA,2,4
30-037,5,0,2012-02-23,2,10,0,1,.455,22,2,.667,3,,W (+14),15.2,1,35:06,NYK,3,3,22,2,MIA,2,5
30-044,10,1,2012-03-01,1,12,0,1,.522,23,9,.818,11,@,W (+14),27.4,1,34:40,POR,1,3,33,3,MIA,4,2
30-045,2,0,2012-03-02,4,10,1,1,.500,20,10,.909,11,@,L (-1),21.4,1,36:00,UTA,2,3,31,1,MIA,3,6
30-047,5,1,2012-03-04,2,7,1,4,.412,17,1,.500,2,@,L (-10),7.3,1,31:07,LAL,2,6,16,2,MIA,5,4
30-049,3,0,2012-03-06,1,6,0,0,.750,8,1,1.000,1,,W (+30),11.5,1,14:58,NJN,1,1,13,0,MIA,1,2
