age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
29-072,9,2,2011-03-30,2,11,1,3,.647,17,10,.833,12,@,W (+16),30.5,1,38:58,WAS,1,3,33,0,MIA,2,3
29-074,2,2,2011-04-01,3,14,0,3,.667,21,4,.800,5,@,W (+19),24.8,1,34:23,MIN,2,2,32,2,MIA,4,5
29-076,5,0,2011-04-03,3,7,1,2,.538,13,3,.750,4,@,W (+14),13.3,1,27:06,NJN,0,1,18,0,MIA,2,3
29-081,4,1,2011-04-08,3,6,0,1,.545,11,15,.938,16,,W (+9),23.9,1,33:12,CHA,0,2,27,3,MIA,4,3
29-083,8,1,2011-04-10,4,4,0,1,.333,12,6,1.000,6,,W (+23),12.2,1,37:22,BOS,1,3,14,1,MIA,3,5
29-084,6,3,2011-04-11,4,9,0,2,.600,15,3,1.000,3,@,W (+8),19.9,1,37:13,ATL,1,1,21,1,MIA,3,5
27-284,5,0,2009-10-28,5,10,1,4,.455,22,5,.714,7,,W (+22),18.4,1,36:22,NYK,0,1,26,2,MIA,2,5
27-286,4,1,2009-10-30,2,9,0,3,.474,19,14,.737,19,@,W (+13),24.1,1,34:56,IND,1,5,32,3,MIA,2,3
27-288,3,0,2009-11-01,0,8,1,4,.421,19,8,.800,10,,W (+8),12.1,1,35:56,CHI,1,2,25,0,MIA,4,1
27-290,7,0,2009-11-03,7,7,0,3,.389,18,9,.818,11,,L (-8),17.2,1,37:39,PHO,2,4,23,2,MIA,4,9
27-291,5,2,2009-11-04,4,14,2,5,.538,26,10,.769,13,@,W (+4),28.1,1,42:35,WAS,0,3,40,1,MIA,4,4
27-293,5,1,2009-11-06,1,6,0,3,.353,17,10,.833,12,,W (+8),15.5,1,41:02,DEN,1,1,22,2,MIA,3,2
27-297,5,1,2009-11-10,3,14,1,3,.483,29,12,.923,13,,W (+14),32.6,1,38:21,WAS,2,2,41,3,MIA,2,5
27-299,5,2,2009-11-12,4,9,3,6,.429,21,15,.714,21,,L (-7),24.2,1,38:25,CLE,0,1,36,0,MIA,4,4
27-301,6,2,2009-11-14,7,8,1,5,.471,17,5,.714,7,,W (+1),22.7,1,42:05,NJN,1,3,22,6,MIA,3,8
27-304,7,2,2009-11-17,4,6,1,4,.316,19,9,.750,12,,L (-13),16.4,1,39:47,OKC,2,1,22,4,MIA,6,6
27-305,5,2,2009-11-18,6,6,2,5,.333,18,1,.500,2,@,L (-15),6.3,1,37:30,ATL,0,2,15,0,MIA,4,6
27-307,8,0,2009-11-20,5,10,1,5,.417,24,9,.900,10,@,L (-7),25.1,1,41:40,TOR,0,2,30,2,MIA,0,5
27-309,3,3,2009-11-22,6,12,3,4,.571,21,4,.571,7,,W (+1),21.3,1,36:32,NOH,0,4,31,1,MIA,4,6
27-312,6,2,2009-11-25,3,6,1,5,.273,22,11,1.000,11,@,W (+1),16.8,1,38:30,ORL,1,1,24,3,MIA,4,4
27-314,6,1,2009-11-27,4,6,1,6,.316,19,5,.714,7,,L (-10),8.8,1,38:30,WAS,0,4,18,2,MIA,4,4
27-316,6,1,2009-11-29,4,11,0,3,.478,23,5,.625,8,,L (-7),19.5,1,37:15,BOS,1,1,27,2,MIA,3,5
27-318,12,0,2009-12-01,2,9,0,1,.500,18,4,.571,7,@,W (+7),18.9,1,37:32,POR,3,5,22,1,MIA,3,5
27-320,4,0,2009-12-03,7,8,0,3,.400,20,9,.692,13,@,L (-18),15.4,1,34:50,DEN,3,3,25,1,MIA,4,10
27-321,9,2,2009-12-04,5,7,0,1,.333,21,12,.667,18,@,L (-1),19.4,1,41:32,LAL,3,4,26,0,MIA,2,8
27-323,10,4,2009-12-06,3,10,0,2,.625,16,14,.875,16,@,W (+13),36.7,1,38:38,SAC,2,1,34,1,MIA,2,5
27-328,5,1,2009-12-11,7,8,0,2,.333,24,12,.800,15,,L (-13),18.5,1,39:57,DAL,4,2,28,1,MIA,4,11
27-330,4,0,2009-12-13,1,11,1,2,.478,23,2,.667,3,,L (-28),14.7,1,32:55,MEM,3,1,25,0,MIA,3,4
27-332,7,0,2009-12-15,1,8,1,1,.421,19,2,1.000,2,,W (+20),12.6,1,29:28,TOR,1,3,19,0,MIA,1,2
27-334,7,3,2009-12-17,3,10,1,1,.588,17,4,.500,8,,W (+18),23.4,1,29:16,ORL,0,0,25,0,MIA,0,3
27-337,10,1,2009-12-20,0,13,0,3,.419,31,2,1.000,2,,L (-7),15.6,1,38:27,POR,0,4,28,1,MIA,3,0
27-340,5,3,2009-12-23,5,12,0,1,.429,28,5,.833,6,,W (+10),19.5,1,36:42,UTA,2,2,29,2,MIA,4,7
27-342,5,0,2009-12-25,8,11,1,2,.524,21,7,.875,8,@,W (+6),25.1,1,38:12,NYK,1,2,30,4,MIA,4,9
27-344,6,1,2009-12-27,2,10,0,1,.588,17,5,.833,6,,W (+34),24.1,1,27:47,IND,1,2,25,3,MIA,1,3
27-347,6,2,2009-12-30,1,7,1,1,.538,13,7,.700,10,@,L (-4),15.0,1,37:39,NOH,2,2,22,0,MIA,6,3
27-348,6,0,2009-12-31,2,6,1,5,.333,18,3,.500,6,@,L (-30),4.2,1,29:01,SAS,0,3,16,3,MIA,7,2
27-350,11,1,2010-01-02,2,9,4,8,.474,19,7,1.000,7,,L (-10),23.8,1,42:47,CHA,1,3,29,2,MIA,6,3
27-352,4,1,2010-01-04,6,11,0,3,.550,20,6,1.000,6,,W (+17),23.9,1,33:34,ATL,2,3,28,1,MIA,1,8
27-354,7,1,2010-01-06,0,15,3,7,.441,34,11,.688,16,,L (-6),32.3,1,43:04,BOS,5,5,44,3,MIA,2,5
27-356,8,0,2010-01-08,5,11,2,7,.440,25,9,.900,10,@,W (+4),27.6,1,38:45,PHO,4,2,33,3,MIA,4,9
27-358,3,0,2010-01-10,1,11,1,4,.478,23,1,.333,3,@,L (-10),14.6,1,35:50,LAC,1,0,24,3,MIA,3,2
27-359,6,3,2010-01-11,3,6,0,0,.500,12,1,1.000,1,@,L (-29),9.8,1,28:38,UTA,0,1,13,0,MIA,4,3
27-361,9,0,2010-01-13,5,10,0,0,.667,15,15,1.000,15,@,W (+13),32.9,1,35:01,GSW,2,2,35,3,MIA,7,7
27-363,8,1,2010-01-15,1,15,0,1,.625,24,7,1.000,7,@,W (+9),34.4,1,41:40,HOU,2,2,37,3,MIA,2,3
27-364,6,3,2010-01-16,3,10,0,0,.476,21,4,.444,9,@,L (-18),19.4,1,37:51,OKC,1,2,24,4,MIA,3,4
28-002,3,3,2010-01-19,0,12,4,6,.600,20,4,.500,8,,W (+30),26.4,1,31:07,IND,0,0,32,2,MIA,1,0
28-003,1,0,2010-01-20,2,6,0,2,.375,16,4,.500,8,@,L (-39),3.7,1,31:46,CHA,2,4,16,1,MIA,4,4
28-005,10,0,2010-01-22,3,12,4,7,.632,19,4,.800,5,@,W (+24),28.0,1,34:02,WAS,0,0,32,0,MIA,3,3
28-006,8,3,2010-01-23,3,11,0,3,.733,15,5,.714,7,,W (+31),30.0,1,29:49,SAC,1,1,27,1,MIA,0,4
28-008,5,1,2010-01-25,7,10,3,5,.476,21,9,.563,16,,L (-1),27.5,1,38:51,CLE,3,1,32,3,MIA,2,10
28-010,10,1,2010-01-27,0,13,1,6,.520,25,8,1.000,8,@,L (-8),28.3,1,43:15,TOR,1,2,35,1,MIA,3,1
28-012,3,0,2010-01-29,4,7,4,5,.636,11,4,.571,7,@,W (+27),16.4,1,24:00,DET,0,2,22,1,MIA,3,4
28-013,7,0,2010-01-30,1,6,0,6,.300,20,9,.750,12,@,L (-11),8.1,1,31:21,MIL,1,5,21,0,MIA,4,2
28-015,6,0,2010-02-01,1,7,1,5,.368,19,8,.889,9,,L (-16),14.6,1,35:54,MIL,0,5,23,4,MIA,4,1
28-017,13,2,2010-02-03,4,11,2,4,.688,16,6,.750,8,@,L (-5),27.8,1,40:35,BOS,1,5,30,1,MIA,6,5
28-018,9,0,2010-02-04,0,11,1,3,.423,26,1,.500,2,@,L (-16),14.6,1,38:55,CLE,3,4,24,4,MIA,6,3
28-020,8,0,2010-02-06,3,7,0,3,.333,21,6,.750,8,@,L (-4),13.7,1,38:42,CHI,3,3,20,2,MIA,3,6
28-023,7,1,2010-02-09,3,8,0,1,.571,14,1,1.000,1,,W (+33),20.6,1,29:06,HOU,1,0,17,5,MIA,2,4
28-024,11,1,2010-02-10,1,7,0,2,.467,15,4,.571,7,@,W (+18),19.5,1,35:22,ATL,3,1,18,2,MIA,2,4
28-030,6,1,2010-02-16,5,8,1,1,.500,16,7,.875,8,@,W (+27),19.7,1,28:28,PHI,1,0,24,1,MIA,4,6
28-031,1,0,2010-02-17,2,2,0,1,.500,4,4,.800,5,@,W (+3),7.6,1,7:26,NJN,1,0,8,0,MIA,0,3
28-042,5,0,2010-02-28,3,6,0,2,.353,17,9,.750,12,@,L (-16),10.9,1,37:23,ORL,2,3,21,1,MIA,5,5
28-044,12,0,2010-03-02,5,15,0,2,.652,23,5,.625,8,,W (+4),34.5,1,36:40,GSW,1,2,35,4,MIA,3,6
28-046,14,0,2010-03-04,2,9,1,3,.429,21,8,.889,9,,W (+3),21.8,1,42:21,LAL,3,3,27,1,MIA,6,5
28-048,10,0,2010-03-06,3,10,4,9,.400,25,14,.778,18,,W (+6),31.3,1,42:00,ATL,1,3,38,2,MIA,1,4
28-051,2,0,2010-03-09,3,11,1,5,.423,26,4,1.000,4,@,L (-5),14.1,1,37:04,CHA,4,3,27,1,MIA,4,7
28-052,8,0,2010-03-10,3,6,0,0,.500,12,15,.882,17,,W (+11),28.6,1,30:20,LAC,3,3,27,2,MIA,1,6
28-054,7,0,2010-03-12,2,7,0,2,.438,16,8,.667,12,,W (+13),11.7,1,33:04,CHI,0,2,22,1,MIA,6,2
28-056,2,1,2010-03-14,4,14,1,4,.560,25,9,.818,11,,W (+13),32.9,1,36:10,PHI,1,1,38,5,MIA,1,5
28-058,5,1,2010-03-16,2,11,1,4,.423,26,5,.625,8,,L (-12),14.9,1,42:38,SAS,1,4,28,3,MIA,5,3
28-060,7,1,2010-03-18,7,12,3,7,.462,26,9,.900,10,,L (-6),30.4,1,45:22,ORL,3,4,36,1,MIA,1,10
28-062,9,5,2010-03-20,5,6,0,3,.333,18,2,.500,4,,W (+6),10.3,1,40:08,CHA,0,5,14,1,MIA,3,5
28-064,12,1,2010-03-22,4,9,0,0,.692,13,9,.750,12,@,W (+10),31.9,1,37:57,NJN,3,2,27,2,MIA,2,7
28-067,10,2,2010-03-25,5,5,0,0,.714,7,2,.286,7,@,W (+29),17.0,1,29:09,CHI,0,0,12,1,MIA,1,5
28-068,7,1,2010-03-26,6,9,1,2,.643,14,11,.917,12,@,W (+13),29.1,1,36:48,MIL,1,1,30,3,MIA,5,7
28-070,6,3,2010-03-28,7,11,1,3,.611,18,9,.900,10,,W (+3),29.2,1,42:38,TOR,0,4,32,5,MIA,6,7
28-073,1,0,2010-03-31,1,4,0,1,.308,13,2,1.000,2,@,W (+17),4.5,1,27:37,DET,2,1,10,2,MIA,2,3
28-075,6,3,2010-04-02,7,14,2,3,.636,22,13,.765,17,@,W (+9),39.0,1,44:01,IND,2,1,43,3,MIA,5,9
28-076,6,0,2010-04-03,7,15,1,2,.556,27,8,.800,10,@,W (+13),26.1,1,40:06,MIN,1,3,39,0,MIA,5,8
28-080,3,2,2010-04-07,3,8,0,3,.444,18,6,.545,11,,W (+4),13.1,1,36:57,PHI,1,4,22,2,MIA,3,4
28-082,9,1,2010-04-09,3,5,1,1,.625,8,8,.889,9,,L (-7),16.7,1,37:10,DET,0,3,19,0,MIA,5,3
28-084,5,0,2010-04-11,4,12,0,1,.462,26,8,.889,9,@,W (+13),21.2,1,37:05,NYK,1,1,32,0,MIA,2,5
28-085,3,1,2010-04-12,3,12,1,2,.632,19,5,.714,7,@,W (+2),21.5,1,35:00,PHI,1,4,30,2,MIA,4,4
26-286,9,0,2008-10-29,6,9,0,3,.375,24,8,.889,9,@,L (-5),13.8,1,41:20,NYK,1,6,26,0,MIA,5,7
26-288,8,4,2008-10-31,3,7,0,0,.583,12,6,.545,11,,W (+26),21.0,1,26:50,SAC,1,1,20,4,MIA,5,4
26-289,6,1,2008-11-01,2,5,0,2,.333,15,9,.692,13,@,L (-13),15.5,1,29:54,CHA,3,5,19,3,MIA,2,5
26-293,6,3,2008-11-05,4,9,0,1,.600,15,11,.846,13,,W (+23),31.1,1,34:19,PHI,3,2,29,5,MIA,4,7
26-295,9,0,2008-11-07,8,14,0,1,.560,25,5,.833,6,@,W (+16),30.4,1,36:25,SAS,2,1,33,3,MIA,3,10
26-296,10,2,2008-11-08,5,9,0,2,.450,20,12,.800,15,@,L (-11),24.2,1,40:51,NOH,1,2,30,1,MIA,5,6
26-298,5,1,2008-11-10,2,9,4,7,.500,18,11,.917,12,,W (+5),25.6,1,41:50,NJN,0,2,33,4,MIA,6,2
26-300,8,3,2008-11-12,5,12,1,5,.545,22,11,.733,15,,L (-8),30.1,1,37:39,POR,1,4,36,2,MIA,4,6
26-302,4,0,2008-11-14,1,8,1,2,.800,10,7,.778,9,,W (+20),22.8,1,30:08,WAS,1,1,24,1,MIA,1,2
26-304,8,2,2008-11-16,3,13,0,3,.419,31,3,.750,4,@,L (-11),19.2,1,40:30,TOR,0,2,29,4,MIA,4,3
26-306,10,3,2008-11-18,4,6,0,2,.375,16,7,.700,10,@,W (+7),16.9,1,35:03,WAS,2,2,19,2,MIA,5,6
26-307,11,5,2008-11-19,3,16,2,6,.533,30,6,.667,9,,L (-6),33.5,1,42:53,TOR,0,2,40,1,MIA,3,3
26-310,8,2,2008-11-22,4,15,2,3,.625,24,6,.545,11,,W (+9),28.8,1,40:36,IND,0,4,38,1,MIA,4,4
26-312,4,0,2008-11-24,2,7,1,6,.304,23,8,.889,9,,L (-9),9.2,1,37:05,HOU,1,3,23,2,MIA,5,3
26-314,6,0,2008-11-26,5,5,0,1,.357,14,2,.500,4,@,L (-38),11.0,1,30:37,POR,1,2,12,5,MIA,3,6
26-316,6,1,2008-11-28,3,15,2,3,.625,24,11,.917,12,@,W (+15),35.4,1,38:56,PHO,0,3,43,1,MIA,2,3
26-317,11,1,2008-11-29,5,12,2,7,.571,21,0,.000,2,@,L (-1),23.7,1,39:30,LAC,1,3,26,3,MIA,4,6
26-319,13,3,2008-12-01,4,12,1,6,.429,28,12,.923,13,@,W (+1),26.3,1,43:17,GSW,1,4,37,0,MIA,7,5
26-321,5,2,2008-12-03,5,8,0,0,.471,17,7,.778,9,@,W (+4),21.9,1,31:35,UTA,0,5,23,4,MIA,0,5
26-324,7,2,2008-12-06,3,14,0,1,.583,24,10,.667,15,,W (+6),30.6,1,35:08,OKC,2,2,38,2,MIA,4,5
26-326,3,0,2008-12-08,6,12,2,4,.545,22,15,.789,19,,W (+4),27.9,1,38:37,CHA,2,3,41,0,MIA,5,8
26-330,3,2,2008-12-12,6,9,0,4,.375,24,3,.500,6,,L (-14),10.5,1,35:15,ATL,2,2,21,1,MIA,3,8
26-332,5,0,2008-12-14,2,5,0,2,.313,16,7,.875,8,@,L (-16),6.5,1,31:15,MEM,0,5,17,1,MIA,4,2
26-333,8,0,2008-12-15,5,5,0,2,.313,16,5,.833,6,,L (-15),9.6,1,41:24,MIL,1,4,15,2,MIA,4,6
26-337,3,2,2008-12-19,3,13,2,4,.520,25,7,.700,10,,W (+2),23.8,1,37:39,LAL,3,3,35,3,MIA,6,6
26-338,5,2,2008-12-20,3,13,1,3,.591,22,16,.889,18,@,W (+3),34.7,1,38:29,NJN,1,2,43,2,MIA,5,4
26-341,8,3,2008-12-23,7,13,0,5,.520,25,6,.600,10,,W (+8),28.4,1,37:41,GSW,1,3,32,3,MIA,2,8
26-344,2,1,2008-12-26,2,11,1,2,.478,23,5,.556,9,,W (+13),17.3,1,36:26,CHI,1,2,28,1,MIA,1,3
26-346,8,0,2008-12-28,4,12,0,2,.480,25,5,.714,7,@,L (-7),21.5,1,39:47,CLE,0,2,29,2,MIA,2,4
26-348,12,1,2008-12-30,3,7,0,3,.304,23,7,.875,8,,W (+9),16.3,1,42:18,CLE,2,1,21,3,MIA,5,5
26-351,6,1,2009-01-02,6,16,0,2,.552,29,1,.500,2,@,L (-10),24.1,1,38:15,ORL,1,0,33,2,MIA,4,7
26-352,6,4,2009-01-03,5,8,0,3,.348,23,13,.765,17,,W (+5),22.9,1,42:55,NJN,3,3,29,3,MIA,4,8
26-354,12,0,2009-01-05,2,10,1,5,.385,26,3,.600,5,,L (-7),18.4,1,45:46,SAS,2,0,24,4,MIA,5,4
26-356,4,2,2009-01-07,3,13,1,2,.565,23,4,1.000,4,@,L (-11),21.4,1,44:47,DEN,0,2,31,1,MIA,4,3
26-358,7,2,2009-01-09,5,11,1,1,.423,26,18,.750,24,@,W (+4),31.0,1,47:17,SAC,0,4,41,3,MIA,3,5
26-360,9,2,2009-01-11,5,10,1,3,.455,22,6,.857,7,@,L (-3),22.2,1,40:58,LAL,0,3,27,2,MIA,3,5
26-362,8,3,2009-01-13,2,9,0,1,.600,15,13,.813,16,@,W (+3),30.1,1,40:42,MIN,1,2,31,3,MIA,4,3
26-363,13,0,2009-01-14,1,5,0,0,.250,20,7,.700,10,@,W (+3),12.6,1,38:00,MIL,2,0,17,2,MIA,4,3
27-000,9,0,2009-01-17,2,11,4,7,.440,25,3,.500,6,@,L (-7),23.8,1,39:00,HOU,2,3,29,5,MIA,3,4
27-001,10,3,2009-01-18,1,14,2,4,.500,28,2,1.000,2,@,W (+10),25.4,1,38:42,OKC,0,0,32,0,MIA,2,1
27-004,4,0,2009-01-21,3,9,2,5,.529,17,5,.714,7,,L (-15),17.7,1,42:43,BOS,1,4,25,2,MIA,3,4
27-007,6,1,2009-01-24,8,11,0,1,.524,21,5,.556,9,,W (+6),21.6,1,36:13,ORL,0,2,27,0,MIA,0,8
27-009,4,2,2009-01-26,5,13,0,0,.684,19,9,.900,10,,W (+16),29.4,1,34:12,ATL,0,2,35,2,MIA,4,5
27-011,9,0,2009-01-28,9,6,0,1,.375,16,2,.500,4,,W (+22),16.0,1,29:26,WAS,0,1,14,3,MIA,0,9
27-013,3,2,2009-01-30,5,10,0,3,.588,17,4,.500,8,@,L (-11),17.1,1,35:33,IND,2,2,24,1,MIA,4,7
27-014,2,1,2009-01-31,3,13,2,4,.565,23,2,.500,4,,L (-15),15.9,1,36:00,DAL,0,1,30,1,MIA,6,3
27-016,9,0,2009-02-02,2,10,2,3,.588,17,10,.833,12,,W (+24),28.1,1,37:11,LAC,1,2,32,0,MIA,2,3
27-018,13,2,2009-02-04,5,10,4,9,.323,31,5,.714,7,@,L (-3),26.9,1,45:15,DET,2,0,29,3,MIA,0,7
27-021,7,0,2009-02-07,3,8,0,4,.421,19,5,.625,8,@,L (-10),13.0,1,41:06,PHI,1,3,21,0,MIA,2,4
27-022,4,1,2009-02-08,3,10,1,2,.526,19,1,.250,4,,W (+4),18.6,1,31:34,CHA,1,0,22,4,MIA,2,4
27-024,2,0,2009-02-10,5,12,1,5,.545,22,8,.667,12,,L (-17),21.7,1,39:19,DEN,2,1,33,2,MIA,5,7
27-026,7,2,2009-02-12,2,9,0,2,.391,23,6,1.000,6,@,W (+2),15.6,1,38:15,CHI,0,2,24,1,MIA,3,2
27-032,12,1,2009-02-18,2,12,1,5,.545,22,12,.923,13,,L (-7),38.3,1,43:15,MIN,2,2,37,3,MIA,1,4
27-035,9,3,2009-02-21,3,8,0,2,.571,14,9,1.000,9,,W (+6),24.2,1,38:34,PHI,1,3,25,2,MIA,5,4
27-036,5,1,2009-02-22,5,17,2,7,.567,30,14,.933,15,@,L (-23),39.9,1,37:17,ORL,0,3,50,1,MIA,1,5
27-038,16,0,2009-02-24,5,11,1,4,.550,20,8,.889,9,,W (+12),28.7,1,41:34,DET,2,1,31,0,MIA,6,7
27-041,10,1,2009-02-27,2,9,1,2,.529,17,2,1.000,2,@,L (-8),18.4,1,37:52,ATL,0,4,21,3,MIA,4,2
27-042,10,4,2009-02-28,4,16,2,3,.552,29,12,1.000,12,,W (+5),47.5,1,41:18,NYK,4,1,46,4,MIA,2,8
27-044,9,1,2009-03-02,4,16,2,6,.533,30,7,.778,9,,L (-7),33.7,1,39:42,CLE,3,3,41,7,MIA,8,7
27-046,16,1,2009-03-04,4,13,2,3,.619,21,7,.778,9,,W (+6),38.0,1,38:35,PHO,2,3,35,1,MIA,1,6
27-048,8,1,2009-03-06,4,17,3,5,.739,23,5,.714,7,@,W (+6),33.8,1,39:48,TOR,2,0,42,1,MIA,8,6
27-049,12,0,2009-03-07,7,9,2,4,.391,23,5,1.000,5,@,L (-10),23.9,1,41:22,CLE,1,2,25,4,MIA,3,8
27-051,12,3,2009-03-09,5,15,5,6,.714,21,13,.722,18,,W (+3),49.0,1,49:51,CHI,1,0,48,4,MIA,5,6
27-053,7,0,2009-03-11,2,9,1,4,.450,20,13,.813,16,,W (+8),30.3,1,36:39,BOS,2,0,32,4,MIA,1,4
27-056,9,2,2009-03-14,7,19,4,11,.487,39,8,.889,9,,W (+11),39.0,1,52:28,UTA,3,2,50,4,MIA,6,10
27-057,3,1,2009-03-15,4,8,0,6,.381,21,2,.667,3,@,L (-8),7.7,1,34:32,PHI,0,1,18,1,MIA,3,4
27-062,6,1,2009-03-20,7,9,0,3,.429,21,9,.643,14,@,L (-8),19.8,1,39:11,NJN,1,2,27,1,MIA,2,8
27-064,6,4,2009-03-22,1,13,2,4,.565,23,11,.786,14,@,W (+5),33.7,1,38:44,DET,1,3,39,2,MIA,2,2
27-065,8,1,2009-03-23,1,11,0,2,.478,23,5,.625,8,,W (+12),18.5,1,31:39,MEM,0,3,27,2,MIA,3,1
27-067,8,0,2009-03-25,4,5,1,6,.208,24,10,.833,12,@,L (-2),13.8,1,38:29,IND,0,1,21,4,MIA,2,4
27-068,4,1,2009-03-26,1,12,1,3,.571,21,6,.750,8,@,L (-19),25.7,1,38:29,CHI,4,3,31,1,MIA,1,5
27-070,7,0,2009-03-28,3,9,0,1,.529,17,9,.818,11,,W (+17),20.8,1,36:30,MIL,1,4,27,3,MIA,5,4
27-072,4,1,2009-03-30,4,16,0,1,.471,34,10,.769,13,,L (-6),31.1,1,41:26,ORL,0,0,42,4,MIA,1,4
27-074,6,1,2009-04-01,2,9,0,1,.450,20,5,.833,6,@,L (-2),14.6,1,39:04,DAL,1,2,23,1,MIA,4,3
27-076,10,0,2009-04-03,4,10,0,2,.476,21,7,.636,11,@,W (+5),22.7,1,38:51,CHA,0,3,27,3,MIA,2,4
27-077,8,0,2009-04-04,5,7,4,7,.538,13,15,.882,17,@,W (+14),27.8,1,33:15,WAS,0,3,33,2,MIA,6,5
27-080,6,2,2009-04-07,6,11,2,5,.407,27,8,.889,9,,L (-6),19.4,1,43:27,NOH,1,2,32,1,MIA,6,7
27-083,9,1,2009-04-10,3,11,2,4,.550,20,7,.538,13,@,L (-7),24.3,1,40:27,BOS,0,4,31,0,MIA,1,3
27-085,4,1,2009-04-12,7,19,6,12,.633,30,11,.846,13,,W (+17),43.6,1,39:17,NYK,2,3,55,0,MIA,3,9
25-301,5,1,2007-11-14,0,5,0,2,.556,9,5,.625,8,,L (-9),14.2,0,24:16,SEA,1,3,15,3,MIA,2,1
25-303,6,0,2007-11-16,1,8,0,1,.533,15,7,.583,12,@,L (-1),16.2,1,38:19,BOS,0,0,23,1,MIA,3,1
25-304,9,1,2007-11-17,5,4,0,0,.235,17,15,.750,20,@,W (+4),17.1,1,39:01,NJN,1,2,23,4,MIA,6,6
25-308,5,0,2007-11-21,4,4,0,0,.333,12,6,.750,8,,L (-3),8.2,1,28:09,ATL,1,4,14,2,MIA,4,5
25-310,5,2,2007-11-23,1,11,0,1,.458,24,9,.692,13,,W (+7),19.2,1,42:20,HOU,2,1,31,1,MIA,5,3
25-311,6,1,2007-11-24,4,12,0,1,.571,21,8,.727,11,@,L (-21),24.6,1,40:13,ORL,2,2,32,1,MIA,4,6
25-314,4,0,2007-11-27,2,4,1,2,.364,11,4,.800,5,,W (+20),8.6,1,26:28,CHA,1,0,13,3,MIA,5,3
25-317,1,2,2007-11-30,4,2,0,2,.182,11,6,.545,11,,L (-10),0.5,1,42:00,BOS,1,4,10,3,MIA,6,5
25-319,3,0,2007-12-02,1,6,0,0,.750,8,1,.333,3,@,L (-26),7.8,1,19:13,DEN,0,4,13,0,MIA,2,1
25-320,10,2,2007-12-03,4,10,0,2,.500,20,6,.500,12,@,L (-9),24.0,1,42:08,UTA,0,3,26,5,MIA,3,4
25-323,9,1,2007-12-06,8,9,0,0,.346,26,3,.750,4,@,L (-6),10.2,1,41:36,POR,2,4,21,0,MIA,5,10
25-324,10,0,2007-12-07,1,11,0,0,.478,23,11,.917,12,@,L (-7),19.9,1,45:14,GSW,1,5,33,0,MIA,7,2
25-326,10,1,2007-12-09,4,13,0,0,.565,23,7,.875,8,@,W (+6),26.9,1,40:44,LAC,1,1,33,1,MIA,5,5
25-327,6,0,2007-12-10,2,13,0,0,.619,21,5,1.000,5,@,W (+4),23.8,1,42:17,PHO,1,3,31,3,MIA,5,3
25-330,7,1,2007-12-13,7,5,0,1,.455,11,7,.700,10,,L (-13),9.4,1,40:02,WAS,0,1,17,0,MIA,8,7
25-332,9,1,2007-12-15,3,6,0,1,.429,14,12,.923,13,,L (-3),15.8,1,38:28,IND,1,5,24,1,MIA,8,4
25-334,4,0,2007-12-17,2,6,0,0,.273,22,18,.900,20,,W (+4),19.2,1,39:54,MIN,2,2,30,2,MIA,3,4
25-336,10,2,2007-12-19,5,8,0,0,.471,17,20,.909,22,@,L (-3),33.5,1,49:01,ATL,1,4,36,1,MIA,3,6
25-337,6,3,2007-12-20,3,15,1,1,.652,23,10,.833,12,,L (-4),37.1,1,44:36,NJN,2,4,41,3,MIA,3,5
25-339,6,1,2007-12-22,3,6,0,0,.429,14,8,.800,10,,W (+2),15.0,1,35:35,UTA,0,4,20,1,MIA,2,3
25-342,8,0,2007-12-25,5,7,0,0,.389,18,8,.500,16,@,L (-14),10.6,1,40:56,CLE,1,3,22,0,MIA,5,6
25-343,9,1,2007-12-26,1,10,0,1,.455,22,7,.875,8,@,L (-11),20.7,1,44:29,PHI,0,2,27,3,MIA,4,1
25-345,11,3,2007-12-28,7,16,0,0,.762,21,16,.696,23,,L (-7),45.2,1,51:35,ORL,0,4,48,3,MIA,5,7
25-346,6,0,2007-12-29,2,5,0,1,.417,12,2,.500,4,@,L (-22),5.3,1,27:38,WAS,1,0,12,2,MIA,7,3
25-350,8,0,2008-01-02,3,10,1,1,.625,16,6,.750,8,,L (-5),25.1,1,40:53,MIL,0,1,27,4,MIA,4,3
25-354,9,1,2008-01-06,3,7,0,2,.350,20,4,.667,6,@,L (-7),13.5,0,29:04,MEM,0,1,18,4,MIA,4,3
25-356,7,0,2008-01-08,4,10,0,0,.556,18,5,.714,7,@,L (-10),15.4,1,39:23,MIN,1,5,25,1,MIA,6,5
25-357,5,0,2008-01-09,5,11,0,0,.500,22,12,.923,13,@,L (-6),28.0,1,40:51,MIL,4,1,34,3,MIA,5,9
25-359,7,0,2008-01-11,1,4,0,0,.286,14,3,.750,4,@,L (-26),6.2,1,36:33,NOH,0,1,11,2,MIA,3,1
25-364,6,0,2008-01-16,2,9,0,0,.429,21,6,.750,8,,L (-30),13.1,1,37:04,CHI,0,2,24,1,MIA,4,2
26-001,3,1,2008-01-18,3,14,2,2,.483,29,7,1.000,7,,L (-7),24.8,1,41:26,POR,2,4,37,1,MIA,2,5
26-002,9,0,2008-01-19,5,7,1,3,.304,23,7,.778,9,,L (-4),13.5,1,40:24,NYK,0,3,22,1,MIA,2,5
